"Código validación","Data","Código parámetro","Parámetro","Valor","Unidades"
"1","2011-08-01 00:00:00.0","TA_AVGMAX_1.5m","Temperatura media das máximas a 1.5m","22.0","ºC"
"1","2011-08-01 00:00:00.0","TA_MIN_1.5m","Temperatura mínima a 1.5m","8.6","ºC"
"9","2011-08-01 00:00:00.0","VV_AVG_2m","Velocidade do vento a 2m","-9999.0","km/h"
"1","2011-09-01 00:00:00.0","PP_SUM_1.5m","Chuvia","38.5","L/m2"
"1","2011-09-01 00:00:00.0","PP_MAX_1.5m","Chuvia diaria máxima","11.2","L/m2"
"9","2011-09-01 00:00:00.0","DV_CONDICION_2m","Dirección do refacho a 2m","-9999.0","º"
"9","2011-09-01 00:00:00.0","DVP_MODA_2m","Dirección do vento predominante a 2m","-9999.0","º"
"9","2011-09-01 00:00:00.0","HFRIO7_SUM_1.5m","Horas de frío ( <=7ºC)","-9999.0","h"
"9","2011-09-01 00:00:00.0","HF_SUM_1.5m","Horas humidade foliar mensuais","-9999.0","h"
"9","2011-09-01 00:00:00.0","HR_AVGMAX_1.5m","Humidade media das máximas a 1.5m","-9999.0","%"
"9","2011-09-01 00:00:00.0","HR_AVGMIN_1.5m","Humidade media das mínimas a 1.5m","-9999.0","%"
