"Código validación","Data","Código parámetro","Parámetro","Valor","Unidades"
"1","2020-04-01 00:00:00.0","TS_AVG_-0.1m","Temperatura do solo a -0.1m","12.5","ºC"
"1","2020-04-01 00:00:00.0","TA_MAX_1.5m","Temperatura máxima a 1.5m","21.4","ºC"
"1","2020-04-01 00:00:00.0","TA_AVG_0.1m","Temperatura media a 0.1m","12.3","ºC"
"1","2020-04-01 00:00:00.0","TA_AVG_1.5m","Temperatura media a 1.5m","11.6","ºC"
"1","2020-04-01 00:00:00.0","TA_AVGMAX_1.5m","Temperatura media das máximas a 1.5m","15.6","ºC"
"1","2020-04-01 00:00:00.0","TA_MIN_1.5m","Temperatura mínima a 1.5m","2.9","ºC"
"1","2020-04-01 00:00:00.0","VV_AVG_2m","Velocidade do vento a 2m","7.5","km/h"
"1","2020-05-01 00:00:00.0","PP_SUM_1.5m","Chuvia","120.0","L/m2"
"1","2020-05-01 00:00:00.0","PP_MAX_1.5m","Chuvia diaria máxima","24.6","L/m2"
"1","2020-05-01 00:00:00.0","DV_CONDICION_2m","Dirección do refacho a 2m","247.0","º"
"1","2020-05-01 00:00:00.0","DVP_MODA_2m","Dirección do vento predominante a 2m","45.0","º"
"1","2020-05-01 00:00:00.0","HFRIO7_SUM_1.5m","Horas de frío ( <=7ºC)","2.5","h"
"1","2020-05-01 00:00:00.0","HF_SUM_1.5m","Horas humidade foliar mensuais","219.1","h"
"1","2020-05-01 00:00:00.0","HR_AVGMAX_1.5m","Humidade media das máximas a 1.5m","99.0","%"
"1","2020-05-01 00:00:00.0","HR_AVGMIN_1.5m","Humidade media das mínimas a 1.5m","67.0","%"
"1","2020-05-01 00:00:00.0","HR_AVG_1.5m","Humidade relativa media a 1.5m","86.0","%"
"1","2020-05-01 00:00:00.0","NDPP_RECUENTO_1.5m","Número de días de chuvia (>0L/m2)","9.0","Días"
"1","2020-05-01 00:00:00.0","NDPP10_RECUENTO_1.5m","Número de días de chuvia (>10L/m2)","6.0","Días"
"1","2020-05-01 00:00:00.0","NDPP1_RECUENTO_1.5m","Número de días de chuvia (>1L/m2)","8.0","Días"
"1","2020-05-01 00:00:00.0","NDPP30_RECUENTO_1.5m","Número de días de chuvia (>30L/m2)","0.0","Días"
"1","2020-05-01 00:00:00.0","NDPP60_RECUENTO_1.5m","Número de días de chuvia (>60L/m2)","0.0","Días"
"1","2020-05-01 00:00:00.0","NDX_RECUENTO_1.5m","Número de días de xeada","0.0","Días"
"1","2020-05-01 00:00:00.0","PR_AVG_1.5m","Presión","974.6","hPa"
"1","2020-05-01 00:00:00.0","PRED_AVG_1.5m","Presión reducida","1017.9","hPa"
"1","2020-05-01 00:00:00.0","VV_MAX_2m","Refacho máximo a 2m","45.0","km/h"
"1","2020-05-01 00:00:00.0","TA_AVGMIN_1.5m","Temperatura  media das mínimas a 1.5m","10.9","ºC"
"1","2020-05-01 00:00:00.0","TO_AVG_1.5m","Temperatura de orballo a 1.5m","13.3","ºC"
"1","2020-05-01 00:00:00.0","TS_AVG_-0.1m","Temperatura do solo a -0.1m","15.4","ºC"
"1","2020-05-01 00:00:00.0","TA_MAX_1.5m","Temperatura máxima a 1.5m","32.3","ºC"
"1","2020-05-01 00:00:00.0","TA_AVG_0.1m","Temperatura media a 0.1m","16.4","ºC"
"1","2020-05-01 00:00:00.0","TA_AVG_1.5m","Temperatura media a 1.5m","15.9","ºC"
"1","2020-05-01 00:00:00.0","TA_AVGMAX_1.5m","Temperatura media das máximas a 1.5m","21.9","ºC"
"1","2020-05-01 00:00:00.0","TA_MIN_1.5m","Temperatura mínima a 1.5m","6.3","ºC"
"1","2020-05-01 00:00:00.0","VV_AVG_2m","Velocidade do vento a 2m","7.2","km/h"
"1","2020-06-01 00:00:00.0","PP_SUM_1.5m","Chuvia","72.8","L/m2"
"1","2020-06-01 00:00:00.0","PP_MAX_1.5m","Chuvia diaria máxima","14.8","L/m2"
"1","2020-06-01 00:00:00.0","DV_CONDICION_2m","Dirección do refacho a 2m","238.0","º"
"1","2020-06-01 00:00:00.0","DVP_MODA_2m","Dirección do vento predominante a 2m","45.0","º"
"1","2020-06-01 00:00:00.0","HFRIO7_SUM_1.5m","Horas de frío ( <=7ºC)","0.0","h"
"1","2020-06-01 00:00:00.0","HF_SUM_1.5m","Horas humidade foliar mensuais","303.3","h"
"1","2020-06-01 00:00:00.0","HR_AVGMAX_1.5m","Humidade media das máximas a 1.5m","100.0","%"
"1","2020-06-01 00:00:00.0","HR_AVGMIN_1.5m","Humidade media das mínimas a 1.5m","72.0","%"
"1","2020-06-01 00:00:00.0","HR_AVG_1.5m","Humidade relativa media a 1.5m","91.0","%"
"1","2020-06-01 00:00:00.0","NDPP_RECUENTO_1.5m","Número de días de chuvia (>0L/m2)","11.0","Días"
"1","2020-06-01 00:00:00.0","NDPP10_RECUENTO_1.5m","Número de días de chuvia (>10L/m2)","2.0","Días"
"1","2020-06-01 00:00:00.0","NDPP1_RECUENTO_1.5m","Número de días de chuvia (>1L/m2)","10.0","Días"
"1","2020-06-01 00:00:00.0","NDPP30_RECUENTO_1.5m","Número de días de chuvia (>30L/m2)","0.0","Días"
"1","2020-06-01 00:00:00.0","NDPP60_RECUENTO_1.5m","Número de días de chuvia (>60L/m2)","0.0","Días"
"1","2020-06-01 00:00:00.0","NDX_RECUENTO_1.5m","Número de días de xeada","0.0","Días"
"1","2020-06-01 00:00:00.0","PR_AVG_1.5m","Presión","975.3","hPa"
"1","2020-06-01 00:00:00.0","PRED_AVG_1.5m","Presión reducida","1018.6","hPa"
"1","2020-06-01 00:00:00.0","VV_MAX_2m","Refacho máximo a 2m","32.7","km/h"
"1","2020-06-01 00:00:00.0","TA_AVGMIN_1.5m","Temperatura  media das mínimas a 1.5m","11.1","ºC"
"1","2020-06-01 00:00:00.0","TO_AVG_1.5m","Temperatura de orballo a 1.5m","13.7","ºC"
"1","2020-06-01 00:00:00.0","TS_AVG_-0.1m","Temperatura do solo a -0.1m","16.3","ºC"
"1","2020-06-01 00:00:00.0","TA_MAX_1.5m","Temperatura máxima a 1.5m","32.3","ºC"
"1","2020-06-01 00:00:00.0","TA_AVG_0.1m","Temperatura media a 0.1m","16.2","ºC"
"1","2020-06-01 00:00:00.0","TA_AVG_1.5m","Temperatura media a 1.5m","15.4","ºC"
"1","2020-06-01 00:00:00.0","TA_AVGMAX_1.5m","Temperatura media das máximas a 1.5m","20.3","ºC"
"1","2020-06-01 00:00:00.0","TA_MIN_1.5m","Temperatura mínima a 1.5m","7.6","ºC"
"1","2020-06-01 00:00:00.0","VV_AVG_2m","Velocidade do vento a 2m","5.1","km/h"
"1","2020-07-01 00:00:00.0","PP_SUM_1.5m","Chuvia","2.0","L/m2"
"1","2020-07-01 00:00:00.0","PP_MAX_1.5m","Chuvia diaria máxima","2.0","L/m2"
"1","2020-07-01 00:00:00.0","DV_CONDICION_2m","Dirección do refacho a 2m","11.0","º"
"1","2020-07-01 00:00:00.0","DVP_MODA_2m","Dirección do vento predominante a 2m","45.0","º"
"1","2020-07-01 00:00:00.0","HFRIO7_SUM_1.5m","Horas de frío ( <=7ºC)","0.0","h"
"1","2020-07-01 00:00:00.0","HF_SUM_1.5m","Horas humidade foliar mensuais","123.8","h"
"1","2020-07-01 00:00:00.0","HR_AVGMAX_1.5m","Humidade media das máximas a 1.5m","100.0","%"
"1","2020-07-01 00:00:00.0","HR_AVGMIN_1.5m","Humidade media das mínimas a 1.5m","65.0","%"
"1","2020-07-01 00:00:00.0","HR_AVG_1.5m","Humidade relativa media a 1.5m","87.0","%"
"1","2020-07-01 00:00:00.0","NDPP_RECUENTO_1.5m","Número de días de chuvia (>0L/m2)","1.0","Días"
"1","2020-07-01 00:00:00.0","NDPP10_RECUENTO_1.5m","Número de días de chuvia (>10L/m2)","0.0","Días"
"1","2020-07-01 00:00:00.0","NDPP1_RECUENTO_1.5m","Número de días de chuvia (>1L/m2)","1.0","Días"
"1","2020-07-01 00:00:00.0","NDPP30_RECUENTO_1.5m","Número de días de chuvia (>30L/m2)","0.0","Días"
"1","2020-07-01 00:00:00.0","NDPP60_RECUENTO_1.5m","Número de días de chuvia (>60L/m2)","0.0","Días"
"1","2020-07-01 00:00:00.0","NDX_RECUENTO_1.5m","Número de días de xeada","0.0","Días"
"1","2020-07-01 00:00:00.0","PR_AVG_1.5m","Presión","976.6","hPa"
"1","2020-07-01 00:00:00.0","PRED_AVG_1.5m","Presión reducida","1019.5","hPa"
"1","2020-07-01 00:00:00.0","VV_MAX_2m","Refacho máximo a 2m","36.3","km/h"
"1","2020-07-01 00:00:00.0","TA_AVGMIN_1.5m","Temperatura  media das mínimas a 1.5m","13.4","ºC"
"1","2020-07-01 00:00:00.0","TO_AVG_1.5m","Temperatura de orballo a 1.5m","16.1","ºC"
"1","2020-07-01 00:00:00.0","TS_AVG_-0.1m","Temperatura do solo a -0.1m","18.8","ºC"
"1","2020-07-01 00:00:00.0","TA_MAX_1.5m","Temperatura máxima a 1.5m","35.0","ºC"
"1","2020-07-01 00:00:00.0","TA_AVG_0.1m","Temperatura media a 0.1m","20.4","ºC"
"1","2020-07-01 00:00:00.0","TA_AVG_1.5m","Temperatura media a 1.5m","18.6","ºC"
"1","2020-07-01 00:00:00.0","TA_AVGMAX_1.5m","Temperatura media das máximas a 1.5m","25.1","ºC"
"1","2020-07-01 00:00:00.0","TA_MIN_1.5m","Temperatura mínima a 1.5m","7.6","ºC"
"1","2020-07-01 00:00:00.0","VV_AVG_2m","Velocidade do vento a 2m","7.6","km/h"
"1","2020-08-01 00:00:00.0","PP_SUM_1.5m","Chuvia","194.4","L/m2"
"1","2020-08-01 00:00:00.0","PP_MAX_1.5m","Chuvia diaria máxima","68.8","L/m2"
"1","2020-08-01 00:00:00.0","DV_CONDICION_2m","Dirección do refacho a 2m","225.0","º"
"1","2020-08-01 00:00:00.0","DVP_MODA_2m","Dirección do vento predominante a 2m","45.0","º"
"1","2020-08-01 00:00:00.0","HFRIO7_SUM_1.5m","Horas de frío ( <=7ºC)","0.0","h"
"1","2020-08-01 00:00:00.0","HF_SUM_1.5m","Horas humidade foliar mensuais","338.9","h"
"1","2020-08-01 00:00:00.0","HR_AVGMAX_1.5m","Humidade media das máximas a 1.5m","100.0","%"
"1","2020-08-01 00:00:00.0","HR_AVGMIN_1.5m","Humidade media das mínimas a 1.5m","74.0","%"
"1","2020-08-01 00:00:00.0","HR_AVG_1.5m","Humidade relativa media a 1.5m","93.0","%"
"1","2020-08-01 00:00:00.0","NDPP_RECUENTO_1.5m","Número de días de chuvia (>0L/m2)","11.0","Días"
"1","2020-08-01 00:00:00.0","NDPP10_RECUENTO_1.5m","Número de días de chuvia (>10L/m2)","6.0","Días"
"1","2020-08-01 00:00:00.0","NDPP1_RECUENTO_1.5m","Número de días de chuvia (>1L/m2)","11.0","Días"
"1","2020-08-01 00:00:00.0","NDPP30_RECUENTO_1.5m","Número de días de chuvia (>30L/m2)","3.0","Días"
"1","2020-08-01 00:00:00.0","NDPP60_RECUENTO_1.5m","Número de días de chuvia (>60L/m2)","1.0","Días"
"1","2020-08-01 00:00:00.0","NDX_RECUENTO_1.5m","Número de días de xeada","0.0","Días"
"1","2020-08-01 00:00:00.0","PR_AVG_1.5m","Presión","974.7","hPa"
"1","2020-08-01 00:00:00.0","PRED_AVG_1.5m","Presión reducida","1017.6","hPa"
"1","2020-08-01 00:00:00.0","VV_MAX_2m","Refacho máximo a 2m","37.9","km/h"
